FID;FID_buildi;osm_id;name;type;Shape_Leng;startX;startY;endX;endY
60156;416;355357453.000000000000000;Repsol;service;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60157;416;355357453.000000000000000;Repsol;service;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60158;416;355357453.000000000000000;Repsol;service;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60159;473;363553843.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60160;473;363553843.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60161;473;363553843.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60162;706;402753014.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60163;706;402753014.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60164;706;402753014.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60165;709;402753017.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60166;709;402753017.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60167;709;402753017.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60168;719;402753027.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60169;719;402753027.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60170;719;402753027.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60171;778;457098207.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60172;778;457098207.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60173;778;457098207.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60174;782;457335659.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60175;782;457335659.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60176;782;457335659.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60177;785;457505980.000000000000000;Hotel Acta Antives;hotel;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
