FID;FID_buildi;osm_id;name;type;startX;startY;endY;endX
1243;7;886662639.000000000000000; ; ;-0.355787100000000;39.539569100000001;39.539558100000001;-0.355761399999964
1244;7;886662639.000000000000000; ; ;-0.355761400000000;39.539558100000001;39.539787099999998;-0.355575799999973
1245;7;886662639.000000000000000; ; ;-0.355575800000000;39.539787099999998;39.539711599999997;-0.355432999999970
1246;7;886662639.000000000000000; ; ;-0.355433000000000;39.539711599999997;39.539770400000002;-0.355396200000034
1247;7;886662639.000000000000000; ; ;-0.355396200000000;39.539770400000002;39.539836800000003;-0.355532699999960
1248;14;886739579.000000000000000; ; ;-0.355061400000000;39.539890700000001;39.539416000000003;-0.355461800000044
1249;14;886739579.000000000000000; ; ;-0.355461800000000;39.539416000000003;39.539400700000002;-0.355421000000043
1250;14;886739579.000000000000000; ; ;-0.355421000000000;39.539400700000002;39.539345500000003;-0.355469000000018
1251;14;886739579.000000000000000; ; ;-0.355469000000000;39.539345500000003;39.539332600000002;-0.355450700000014
1252;14;886739579.000000000000000; ; ;-0.355450700000000;39.539332600000002;39.538978299999997;-0.355780999999987
1253;14;886739579.000000000000000; ; ;-0.355781000000000;39.538978299999997;39.538989100000002;-0.355803000000031
1254;14;886739579.000000000000000; ; ;-0.355803000000000;39.538989100000002;39.538862399999999;-0.355889499999994
1255;14;886739579.000000000000000; ; ;-0.355889500000000;39.538862399999999;39.539154799999999;-0.356614099999995
1256;14;886739579.000000000000000; ; ;-0.356614100000000;39.539154799999999;39.539654400000003;-0.356249300000010
1257;14;886739579.000000000000000; ; ;-0.356249300000000;39.539654400000003;39.539464600000002;-0.355876700000001
1258;14;886739579.000000000000000; ; ;-0.355876700000000;39.539464600000002;39.539569100000001;-0.355787099999959
1259;14;886739579.000000000000000; ; ;-0.355787100000000;39.539569100000001;39.539558100000001;-0.355761399999964
1260;14;886739579.000000000000000; ; ;-0.355761400000000;39.539558100000001;39.539787099999998;-0.355575799999973
1261;14;886739579.000000000000000; ; ;-0.355575800000000;39.539787099999998;39.539711599999997;-0.355432999999970
1262;14;886739579.000000000000000; ; ;-0.355433000000000;39.539711599999997;39.539770400000002;-0.355396200000034
1263;14;886739579.000000000000000; ; ;-0.355396200000000;39.539770400000002;39.539836800000003;-0.355532699999960
1264;19;886739587.000000000000000; ; ;-0.353267800000000;39.539560600000002;39.539902800000000;-0.352976500000023
1265;19;886739587.000000000000000; ; ;-0.352976500000000;39.539902800000000;39.539545400000002;-0.352271899999988
1266;19;886739587.000000000000000; ; ;-0.352271900000000;39.539545400000002;39.539224200000000;-0.352511199999982
1267;19;886739587.000000000000000; ; ;-0.352511200000000;39.539224200000000;39.539207300000001;-0.352536099999999
1268;19;886739587.000000000000000; ; ;-0.352536100000000;39.539207300000001;39.539202099999997;-0.352569999999962
1269;19;886739587.000000000000000; ; ;-0.352570000000000;39.539202099999997;39.539197600000001;-0.352615700000013
1270;19;886739587.000000000000000; ; ;-0.352615700000000;39.539197600000001;39.539212499999998;-0.352651899999988
1271;19;886739587.000000000000000; ; ;-0.352651900000000;39.539212499999998;39.539560600000002;-0.353267799999967
1272;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354057300000000;39.539824099999997;39.538972000000001;-0.354763700000015
1273;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354763700000000;39.538972000000001;39.539137500000002;-0.355080400000017
1274;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.355080400000000;39.539137500000002;39.539980399999997;-0.354362200000012
1275;7;886662639.000000000000000; ; ;-0.354057300000000;39.539824099999997;39.538972000000001;-0.354763700000015
1276;7;886662639.000000000000000; ; ;-0.354763700000000;39.538972000000001;39.539137500000002;-0.355080400000017
1277;7;886662639.000000000000000; ; ;-0.355080400000000;39.539137500000002;39.539980399999997;-0.354362200000012
1278;24;886739592.000000000000000; ; ;-0.354057300000000;39.539824099999997;39.538972000000001;-0.354763700000015
1279;24;886739592.000000000000000; ; ;-0.354763700000000;39.538972000000001;39.539137500000002;-0.355080400000017
1280;24;886739592.000000000000000; ; ;-0.355080400000000;39.539137500000002;39.539980399999997;-0.354362200000012
1281;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354362200000000;39.539980399999997;39.539824099999997;-0.354057300000009
1282;7;886662639.000000000000000; ; ;-0.354362200000000;39.539980399999997;39.539824099999997;-0.354057300000009
1283;24;886739592.000000000000000; ; ;-0.354362200000000;39.539980399999997;39.539824099999997;-0.354057300000009
1284;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.355532700000000;39.539836800000003;39.540048499999997;-0.355364399999979
1285;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.355364400000000;39.540048499999997;39.539890700000001;-0.355061400000044
1286;7;886662639.000000000000000; ; ;-0.355532700000000;39.539836800000003;39.540048499999997;-0.355364399999979
1287;7;886662639.000000000000000; ; ;-0.355364400000000;39.540048499999997;39.539890700000001;-0.355061400000044
1288;14;886739579.000000000000000; ; ;-0.355532700000000;39.539836800000003;39.540048499999997;-0.355364399999979
1289;14;886739579.000000000000000; ; ;-0.355364400000000;39.540048499999997;39.539890700000001;-0.355061400000044
1290;18;886739585.000000000000000; ; ;-0.352918500000000;39.539957999999999;39.540072299999999;-0.352821800000013
1291;18;886739585.000000000000000; ; ;-0.352821800000000;39.540072299999999;39.540012800000000;-0.352558599999996
1292;18;886739585.000000000000000; ; ;-0.352558600000000;39.540012800000000;39.539928600000003;-0.352401799999989
1293;18;886739585.000000000000000; ; ;-0.352401800000000;39.539928600000003;39.539772700000000;-0.352542000000043
